num warehouses,num trucks,manifest size,
7,10,12,
Hour,xPos,yPos,type,speed,moving_source,moving_destination,picking_up,unloading,pickup_status,manifest_complete,
0,336.525,348.65,3,3,1,0,0,0,false,false,
0,255.7,272.15,4,2,1,0,0,0,false,false,
0,160.7,492.55,4,2,1,0,0,0,false,false,
0,342.15,301.6,4,2,1,0,0,0,false,false,
0,220.25,425.6,5,1,1,0,0,0,false,false,
0,224.9,33.5,2,4,1,0,0,0,false,false,
0,292.125,308.875,3,3,1,0,0,0,false,false,
0,85.325,574.375,3,3,1,0,0,0,false,false,
0,86.625,138.25,1,5,1,0,0,0,false,false,
0,405.5,129.375,1,5,1,0,0,0,false,false,
1,331.460625,347.40125,3,3,1,0,0,0,false,false,
1,256.365,275.1425,4,2,1,0,0,0,false,false,
1,166.11499999999998,484.52250000000004,4,2,1,0,0,0,false,false,
1,338.49249999999995,303.12,4,2,1,0,0,0,false,false,
1,221.46875,423.26000000000005,5,1,1,0,0,0,false,false,
1,223.01,44.75,2,4,1,0,0,0,false,false,
1,290.390625,310.609375,3,3,1,0,0,0,false,false,
1,81.925625,571.946875,3,3,1,0,0,0,false,false,
1,80.171875,137.59375,1,5,1,0,0,0,false,false,
1,380.5625,131.453125,1,5,1,0,0,0,false,false,
2,326.77607812499997,346.24615625,3,3,1,0,0,0,false,false,
2,256.99675,277.985375,4,2,1,0,0,0,false,false,
2,171.25924999999998,476.89637500000003,4,2,1,0,0,0,false,false,
2,335.01787499999995,304.564,4,2,1,0,0,0,false,false,
2,222.65703125,420.97850000000005,5,1,1,0,0,0,false,false,
2,221.309,54.875,2,4,1,0,0,0,false,false,
2,288.786328125,312.213671875,3,3,1,0,0,0,false,false,
2,78.78120312499999,569.7008593749999,3,3,1,0,0,0,false,false,
2,74.525390625,137.01953125,1,5,1,0,0,0,false,false,
2,358.7421875,133.271484375,1,5,1,0,0,0,false,false,
3,322.442872265625,345.17769453125004,3,3,1,0,0,0,false,false,
3,257.59691250000003,280.68610624999997,4,2,1,0,0,0,false,false,
3,176.14628749999997,469.65155625000006,4,2,1,0,0,0,false,false,
3,331.71698124999995,305.93580000000003,4,2,1,0,0,0,false,false,
3,223.81560546875,418.75403750000004,5,1,1,0,0,0,false,false,
3,219.7781,63.9875,2,4,1,0,0,0,false,false,
3,287.302353515625,313.697646484375,3,3,1,0,0,0,false,false,
3,75.87261289062499,567.623294921875,3,3,1,0,0,0,false,false,
3,69.584716796875,136.51708984375,1,5,1,0,0,0,false,false,
3,339.6494140625,134.862548828125,1,5,1,0,0,0,false,false,
4,318.4346568457031,344.18936744140626,3,3,1,0,0,0,false,false,
4,258.16706687500005,283.2518009375,4,2,1,0,0,0,false,false,
4,180.78897312499998,462.76897843750004,4,2,1,0,0,0,false,false,
4,328.5811321875,307.23901,4,2,1,0,0,0,false,false,
4,224.94521533203124,416.58518656250004,5,1,1,0,0,0,false,false,
4,218.40028999999998,72.18875,2,4,1,0,0,0,false,false,
4,285.9296770019531,315.0703229980469,3,3,1,0,0,0,false,false,
4,73.18216692382812,565.7015478027344,3,3,1,0,0,0,false,false,
4,65.26162719726562,136.07745361328125,1,5,1,0,0,0,false,false,
4,322.9432373046875,136.25473022460938,1,5,1,0,0,0,false,false,
5,314.7270575822754,343.2751648833008,3,3,1,0,0,0,false,false,
5,258.70871353125005,285.68921089062496,4,2,1,0,0,0,false,false,
5,185.19952446874998,456.23052951562505,4,2,1,0,0,0,false,false,
5,325.602075578125,308.4770595,4,2,1,0,0,0,false,false,
5,226.04658494873047,414.47055689843756,5,1,1,0,0,0,false,false,
5,217.160261,79.569875,2,4,1,0,0,0,false,false,
5,284.65995122680664,316.34004877319336,3,3,1,0,0,0,false,false,
5,70.69350440454102,563.9239317175293,3,3,1,0,0,0,false,false,
5,61.47892379760742,135.6927719116211,1,5,1,0,0,0,false,false,
5,308.32533264160156,137.4728889465332,1,5,1,0,0,0,false,false,
6,311.29752826360476,342.42952751705326,3,3,1,0,0,0,false,false,
6,259.2232778546876,288.0047503460937,4,2,1,0,0,0,false,false,
6,189.38954824531248,450.0190030398438,4,2,1,0,0,0,false,false,
6,322.7719717992187,309.653206525,4,2,1,0,0,0,false,false,
6,227.12042032501222,412.4087929759766,5,1,1,0,0,0,false,false,
6,216.0442349,86.2128875,2,4,1,0,0,0,false,false,
6,283.4854548847961,317.5145451152039,3,3,1,0,0,0,false,false,
6,68.39149157420044,562.2796368387146,3,3,1,0,0,0,false,false,
6,58.169058322906494,135.35617542266846,1,5,1,0,0,0,false,false,
6,295.53466606140137,138.53877782821655,1,5,1,0,0,0,false,false,
7,308.1252136438344,341.64731295327425,3,3,1,0,0,0,false,false,
7,259.7121139619532,290.204512828789,4,2,1,0,0,0,false,false,
7,193.37007083304687,444.1180528878516,4,2,1,0,0,0,false,false,
7,320.0833732092578,310.77054619874997,4,2,1,0,0,0,false,false,
7,228.1674098168869,410.3985731515772,5,1,1,0,0,0,false,false,
7,215.03981141,92.19159875,2,4,1,0,0,0,false,false,
7,282.3990457684364,318.6009542315636,3,3,1,0,0,0,false,false,
7,66.26212970613541,560.758664075811,3,3,1,0,0,0,false,false,
7,55.27292603254318,135.0616534948349,1,5,1,0,0,0,false,false,
7,284.3428328037262,139.47143059968948,1,5,1,0,0,0,false,false,
8,305.19082262054684,340.9237644817787,3,3,1,0,0,0,false,false,
8,260.17650826385557,292.29428718734954,4,2,1,0,0,0,false,false,
8,197.1515672913945,438.512150243459,4,2,1,0,0,0,false,false,
8,317.5292045487949,311.83201888881246,4,2,1,0,0,0,false,false,
8,229.18822457146473,408.4386088227877,5,1,1,0,0,0,false,false,
